neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
cortes,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.302585092994046,0,4.77912349311153
prosperidad,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,1.4316753749197966,-0.3362150483793528,0.6931471805599453,0,3.7612001156935624
valdezarza,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.12220774790628951,1.5659401123694134,1.6094379124341003,0,3.58351893845611
concepción,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.8340280199866866,-1.1746650205515063,4.983606621708336,0,3.5553480614894135
carretera de cadiz,3,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,1.3862943611198906,0,4.174387269895637
sol,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,3.224617439719127,-0.7992396598774077,0.0,0,3.295836866004329
fuente del berro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.2417372188929115,-0.3362150483793528,4.1588830833596715,0,3.367295829986474
delicias,2,-1.295454281148449,-0.48125855188022465,-1.3571437913508724,-0.4462663485364962,-0.3015019543862225,-1.2372359139971894,2.5649493574615367,0,4.23410650459726
san gil,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.057086458573643514,1.5659401123694134,1.3862943611198906,0,3.4657359027997265
adelfas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.2147103923567435,5.733341276897746,0,3.1354942159291497
palacio,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,3.224617439719127,-1.0244948762818669,0.0,0,3.1780538303479458
"el torrejón, el cerezo",2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,5.017559504518458,-0.7992396598774077,0.6931471805599453,0,2.995732273553991
ciudad jardin,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.12220774790628951,-0.3362150483793528,3.295836866004329,0,3.5263605246161616
trafalgar,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4316753749197966,-1.0745515910384134,0.0,0,3.258096538021482
ciudad jardín,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,1.5659401123694134,1.9459101490553132,0,2.4849066497880004
imperial,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,1.5659401123694134,5.225746673713202,0,3.7376696182833684
cármenes,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,-0.3362150483793528,2.995732273553991,0,3.6375861597263857
